Combination,Cap(uF),Total_Volume(mm^2)
100.0 and 47.0 + 100.0 + 220.0 + 470.0,126.350662589,2485.141160659
100.0 and 47.0 + 100.0 + 220.0 + 680.0,126.814943633,3050.627838305
100.0 and 47.0 + 100.0 + 220.0 + 820.0,126.996701351,3443.326920004
100.0 and 47.0 + 100.0 + 220.0 + 1000.0,127.157640385,3934.200772127
100.0 and 47.0 + 100.0 + 330.0 + 470.0,127.446469651,2661.07034926
100.0 and 47.0 + 100.0 + 330.0 + 680.0,127.950537714,3226.557026906
100.0 and 47.0 + 100.0 + 330.0 + 820.0,128.148072735,3619.256108605
100.0 and 47.0 + 100.0 + 330.0 + 1000.0,128.323076642,4110.129960728
100.0 and 47.0 + 100.0 + 470.0 + 680.0,128.673963754,3477.884439193
100.0 and 47.0 + 100.0 + 470.0 + 820.0,128.881894484,3870.583520892
100.0 and 47.0 + 100.0 + 470.0 + 1000.0,129.066171923,4361.457373015
100.0 and 47.0 + 100.0 + 680.0 + 820.0,129.44060249,4436.070198538
100.0 and 47.0 + 100.0 + 680.0 + 1000.0,129.632102062,4926.944050662
100.0 and 47.0 + 100.0 + 820.0 + 1000.0,129.854214758,5319.64313236
100.0 and 47.0 + 220.0 + 330.0 + 470.0,132.278876171,2896.226413363
100.0 and 47.0 + 220.0 + 330.0 + 680.0,132.978330884,3461.713091009
100.0 and 47.0 + 220.0 + 330.0 + 820.0,133.253673587,3854.412172708
100.0 and 47.0 + 220.0 + 330.0 + 1000.0,133.498196583,4345.286024831
100.0 and 47.0 + 220.0 + 470.0 + 680.0,133.990138258,3713.040503296
100.0 and 47.0 + 220.0 + 470.0 + 820.0,134.282710658,4105.739584995
100.0 and 47.0 + 220.0 + 470.0 + 1000.0,134.54266052,4596.613437118
100.0 and 47.0 + 220.0 + 680.0 + 820.0,135.072766337,4671.226262641
100.0 and 47.0 + 220.0 + 680.0 + 1000.0,135.344883055,5162.100114764
100.0 and 47.0 + 220.0 + 820.0 + 1000.0,135.661350915,5554.799196463
100.0 and 47.0 + 330.0 + 470.0 + 680.0,135.835683463,3888.969691897
100.0 and 47.0 + 330.0 + 470.0 + 820.0,136.161041767,4281.668773596
100.0 and 47.0 + 330.0 + 470.0 + 1000.0,136.450377194,4772.542625719
100.0 and 47.0 + 330.0 + 680.0 + 820.0,137.041153811,4847.155451242
100.0 and 47.0 + 330.0 + 680.0 + 1000.0,137.34480385,5338.029303365
100.0 and 47.0 + 330.0 + 820.0 + 1000.0,137.698277431,5730.728385064
100.0 and 47.0 + 470.0 + 680.0 + 820.0,138.322463662,5098.482863529
100.0 and 47.0 + 470.0 + 680.0 + 1000.0,138.647576666,5589.356715653
100.0 and 47.0 + 470.0 + 820.0 + 1000.0,139.02626729,5982.055797351
100.0 and 47.0 + 680.0 + 820.0 + 1000.0,140.0533572,6547.542474998
100.0 and 100.0 + 220.0 + 330.0 + 470.0,150.752617801,3023.138902586
100.0 and 100.0 + 220.0 + 330.0 + 680.0,152.503509593,3588.625580232
100.0 and 100.0 + 220.0 + 330.0 + 820.0,153.204876131,3981.324661931
100.0 and 100.0 + 220.0 + 330.0 + 1000.0,153.83360522,4472.198514054
100.0 and 100.0 + 220.0 + 470.0 + 680.0,155.115542596,3839.95299252
100.0 and 100.0 + 220.0 + 470.0 + 820.0,155.888944551,4232.652074218
100.0 and 100.0 + 220.0 + 470.0 + 1000.0,156.583123564,4723.525926342
100.0 and 100.0 + 220.0 + 680.0 + 820.0,158.019599682,4798.138751864
100.0 and 100.0 + 220.0 + 680.0 + 1000.0,158.768070396,5289.012603988
100.0 and 100.0 + 220.0 + 820.0 + 1000.0,159.648194683,5681.711685687
100.0 and 100.0 + 330.0 + 470.0 + 680.0,160.137531503,4015.882181121
100.0 and 100.0 + 330.0 + 470.0 + 820.0,161.0594742,4408.581262819
100.0 and 100.0 + 330.0 + 470.0 + 1000.0,161.888990862,4899.455114943
100.0 and 100.0 + 330.0 + 680.0 + 820.0,163.611598932,4974.067940465
100.0 and 100.0 + 330.0 + 680.0 + 1000.0,164.512419503,5464.941792589
100.0 and 100.0 + 330.0 + 820.0 + 1000.0,165.574565017,5857.640874288
100.0 and 100.0 + 470.0 + 680.0 + 820.0,167.486583645,5225.395352753
100.0 and 100.0 + 470.0 + 680.0 + 1000.0,168.501371742,5716.269204876
100.0 and 100.0 + 470.0 + 820.0 + 1000.0,169.700148298,6108.968286575
100.0 and 100.0 + 680.0 + 820.0 + 1000.0,173.045483127,6674.454964221
100.0 and 220.0 + 330.0 + 470.0 + 680.0,189.493423844,4251.038245223
100.0 and 220.0 + 330.0 + 470.0 + 820.0,191.550532681,4643.737326922
100.0 and 220.0 + 330.0 + 470.0 + 1000.0,193.428106741,5134.611179046
