Combination,Cap(uF),Vol(mm^3)
220.0 + 470.0 + 680.0 + 820.0 + 1000.0,9.650e-05,7572.023693314799
330.0 + 470.0 + 680.0 + 820.0 + 1000.0,1.130e-04,7747.952881915828
47.0 and 47.0,9.400e-05,431.968989869
47.0 and 100.0,1.470e-04,558.881479092
47.0 and 220.0,2.670e-04,794.037543195
47.0 and 330.0,3.770e-04,969.966731796
47.0 and 470.0,5.170e-04,1221.294144083
47.0 and 680.0,7.270e-04,1786.780821729
47.0 and 820.0,8.670e-04,2179.479903428
47.0 and 47.0 + 100.0,7.897e-05,774.865974026
47.0 and 47.0 + 220.0,8.573e-05,1010.022038129
47.0 and 47.0 + 330.0,8.814e-05,1185.95122673
47.0 and 47.0 + 470.0,8.973e-05,1437.278639017
47.0 and 47.0 + 680.0,9.096e-05,2002.765316663
47.0 and 47.0 + 820.0,9.145e-05,2395.464398362
47.0 and 47.0 + 1000.0,9.189e-05,2886.338250486
47.0 and 100.0 + 220.0,1.157e-04,1136.934527353
47.0 and 100.0 + 330.0,1.237e-04,1312.863715954
47.0 and 100.0 + 470.0,1.295e-04,1564.191128241
47.0 and 100.0 + 680.0,1.342e-04,2129.677805887
47.0 and 100.0 + 820.0,1.361e-04,2522.376887586
47.0 and 100.0 + 1000.0,1.379e-04,3013.250739709
47.0 and 220.0 + 330.0,1.790e-04,1548.019780056
47.0 and 220.0 + 470.0,1.969e-04,1799.347192344
47.0 and 220.0 + 680.0,2.132e-04,2364.83386999
47.0 and 220.0 + 820.0,2.205e-04,2757.532951688
47.0 and 220.0 + 1000.0,2.273e-04,3248.406803812
47.0 and 330.0 + 470.0,2.409e-04,1975.276380945
47.0 and 330.0 + 680.0,2.692e-04,2540.763058591
47.0 and 330.0 + 820.0,2.823e-04,2933.462140289
47.0 and 330.0 + 1000.0,2.951e-04,3424.335992413
47.0 and 470.0 + 680.0,3.249e-04,2792.090470878
47.0 and 470.0 + 820.0,3.458e-04,3184.789552577
47.0 and 470.0 + 1000.0,3.667e-04,3675.6634047
47.0 and 680.0 + 820.0,4.187e-04,3750.276230223
47.0 and 680.0 + 1000.0,4.518e-04,4241.150082346
47.0 and 820.0 + 1000.0,4.975e-04,4633.849164045
47.0 and 47.0 + 100.0 + 220.0,7.492e-05,1352.919022287
47.0 and 47.0 + 100.0 + 330.0,7.615e-05,1528.848210888
47.0 and 47.0 + 100.0 + 470.0,7.694e-05,1780.175623175
47.0 and 47.0 + 100.0 + 680.0,7.754e-05,2345.662300821
47.0 and 47.0 + 100.0 + 820.0,7.777e-05,2738.36138252
47.0 and 47.0 + 100.0 + 1000.0,7.798e-05,3229.235234643
47.0 and 47.0 + 220.0 + 330.0,8.166e-05,1764.004274991
47.0 and 47.0 + 220.0 + 470.0,8.278e-05,2015.331687278
47.0 and 47.0 + 220.0 + 680.0,8.364e-05,2580.818364924
47.0 and 47.0 + 220.0 + 820.0,8.398e-05,2973.517446623
47.0 and 47.0 + 220.0 + 1000.0,8.428e-05,3464.391298746
47.0 and 47.0 + 330.0 + 470.0,8.483e-05,2191.260875879
47.0 and 47.0 + 330.0 + 680.0,8.579e-05,2756.747553525
47.0 and 47.0 + 330.0 + 820.0,8.618e-05,3149.446635224
47.0 and 47.0 + 330.0 + 1000.0,8.651e-05,3640.320487347
47.0 and 47.0 + 470.0 + 680.0,8.720e-05,3008.074965812
47.0 and 47.0 + 470.0 + 820.0,8.761e-05,3400.774047511
47.0 and 47.0 + 470.0 + 1000.0,8.798e-05,3891.647899634
47.0 and 47.0 + 680.0 + 820.0,8.872e-05,3966.260725157
47.0 and 47.0 + 680.0 + 1000.0,8.911e-05,4457.134577281
47.0 and 47.0 + 820.0 + 1000.0,8.956e-05,4849.833658979
47.0 and 100.0 + 220.0 + 330.0,1.039e-04,1890.916764214
47.0 and 100.0 + 220.0 + 470.0,1.070e-04,2142.244176501
47.0 and 100.0 + 220.0 + 680.0,1.094e-04,2707.730854147
47.0 and 100.0 + 220.0 + 820.0,1.104e-04,3100.429935846
47.0 and 100.0 + 220.0 + 1000.0,1.113e-04,3591.30378797
47.0 and 100.0 + 330.0 + 470.0,1.130e-04,2318.173365102
47.0 and 100.0 + 330.0 + 680.0,1.160e-04,2883.660042748
47.0 and 100.0 + 330.0 + 820.0,1.172e-04,3276.359124447
47.0 and 100.0 + 330.0 + 1000.0,1.183e-04,3767.232976571
47.0 and 100.0 + 470.0 + 680.0,1.205e-04,3134.987455036
47.0 and 100.0 + 470.0 + 820.0,1.219e-04,3527.686536734
47.0 and 100.0 + 470.0 + 1000.0,1.232e-04,4018.560388858
47.0 and 100.0 + 680.0 + 820.0,1.258e-04,4093.173214381
47.0 and 100.0 + 680.0 + 1000.0,1.272e-04,4584.047066504
47.0 and 100.0 + 820.0 + 1000.0,1.288e-04,4976.746148203
47.0 and 220.0 + 330.0 + 470.0,1.501e-04,2553.329429205
47.0 and 220.0 + 330.0 + 680.0,1.575e-04,3118.816106851
47.0 and 220.0 + 330.0 + 820.0,1.607e-04,3511.51518855
47.0 and 220.0 + 330.0 + 1000.0,1.636e-04,4002.389040673
47.0 and 220.0 + 470.0 + 680.0,1.698e-04,3370.143519138
47.0 and 220.0 + 470.0 + 820.0,1.737e-04,3762.842600837
47.0 and 220.0 + 470.0 + 1000.0,1.773e-04,4253.716452961
47.0 and 220.0 + 680.0 + 820.0,1.852e-04,4328.329278483
47.0 and 220.0 + 680.0 + 1000.0,1.895e-04,4819.203130607
47.0 and 220.0 + 820.0 + 1000.0,1.948e-04,5211.902212305
47.0 and 330.0 + 470.0 + 680.0,1.979e-04,3546.072707739
47.0 and 330.0 + 470.0 + 820.0,2.038e-04,3938.771789438
47.0 and 330.0 + 470.0 + 1000.0,2.094e-04,4429.645641562
47.0 and 330.0 + 680.0 + 820.0,2.218e-04,4504.258467084
47.0 and 330.0 + 680.0 + 1000.0,2.288e-04,4995.132319208
47.0 and 330.0 + 820.0 + 1000.0,2.375e-04,5387.831400906
47.0 and 470.0 + 680.0 + 820.0,2.546e-04,4755.585879372
47.0 and 470.0 + 680.0 + 1000.0,2.645e-04,5246.459731495
47.0 and 470.0 + 820.0 + 1000.0,2.770e-04,5639.158813194
47.0 and 680.0 + 820.0 + 1000.0,3.180e-04,6204.64549084
47.0 and 47.0 + 100.0 + 220.0 + 330.0,7.274e-05,2106.901259148
47.0 and 47.0 + 100.0 + 220.0 + 470.0,7.335e-05,2358.228671436
47.0 and 47.0 + 100.0 + 220.0 + 680.0,7.381e-05,2923.715349082
47.0 and 47.0 + 100.0 + 220.0 + 820.0,7.400e-05,3316.41443078
47.0 and 47.0 + 100.0 + 220.0 + 1000.0,7.416e-05,3807.288282904
47.0 and 47.0 + 100.0 + 330.0 + 470.0,7.445e-05,2534.157860037
47.0 and 47.0 + 100.0 + 330.0 + 680.0,7.495e-05,3099.644537683
47.0 and 47.0 + 100.0 + 330.0 + 820.0,7.515e-05,3492.343619381
47.0 and 47.0 + 100.0 + 330.0 + 1000.0,7.532e-05,3983.217471505
47.0 and 47.0 + 100.0 + 470.0 + 680.0,7.567e-05,3350.97194997
47.0 and 47.0 + 100.0 + 470.0 + 820.0,7.588e-05,3743.671031669
47.0 and 47.0 + 100.0 + 470.0 + 1000.0,7.607e-05,4234.544883792
47.0 and 47.0 + 100.0 + 680.0 + 820.0,7.644e-05,4309.157709315
47.0 and 47.0 + 100.0 + 680.0 + 1000.0,7.663e-05,4800.031561438
47.0 and 47.0 + 100.0 + 820.0 + 1000.0,7.685e-05,5192.730643137
47.0 and 47.0 + 220.0 + 330.0 + 470.0,7.928e-05,2769.313924139
47.0 and 47.0 + 220.0 + 330.0 + 680.0,7.998e-05,3334.800601786
47.0 and 47.0 + 220.0 + 330.0 + 820.0,8.025e-05,3727.499683484
47.0 and 47.0 + 220.0 + 330.0 + 1000.0,8.050e-05,4218.373535608
47.0 and 47.0 + 220.0 + 470.0 + 680.0,8.099e-05,3586.128014073
47.0 and 47.0 + 220.0 + 470.0 + 820.0,8.128e-05,3978.827095771
47.0 and 47.0 + 220.0 + 470.0 + 1000.0,8.154e-05,4469.700947895
47.0 and 47.0 + 220.0 + 680.0 + 820.0,8.207e-05,4544.313773418
47.0 and 47.0 + 220.0 + 680.0 + 1000.0,8.234e-05,5035.187625541
47.0 and 47.0 + 220.0 + 820.0 + 1000.0,8.266e-05,5427.88670724
47.0 and 47.0 + 330.0 + 470.0 + 680.0,8.284e-05,3762.057202674
47.0 and 47.0 + 330.0 + 470.0 + 820.0,8.316e-05,4154.756284373
47.0 and 47.0 + 330.0 + 470.0 + 1000.0,8.345e-05,4645.630136496
47.0 and 47.0 + 330.0 + 680.0 + 820.0,8.404e-05,4720.242962019
47.0 and 47.0 + 330.0 + 680.0 + 1000.0,8.434e-05,5211.116814142
47.0 and 47.0 + 330.0 + 820.0 + 1000.0,8.470e-05,5603.815895841
47.0 and 47.0 + 470.0 + 680.0 + 820.0,8.532e-05,4971.570374306
47.0 and 47.0 + 470.0 + 680.0 + 1000.0,8.565e-05,5462.444226429
47.0 and 47.0 + 470.0 + 820.0 + 1000.0,8.603e-05,5855.143308128
47.0 and 47.0 + 680.0 + 820.0 + 1000.0,8.705e-05,6420.629985774
47.0 and 100.0 + 220.0 + 330.0 + 470.0,9.775e-05,2896.226413363
47.0 and 100.0 + 220.0 + 330.0 + 680.0,9.950e-05,3461.713091009
47.0 and 100.0 + 220.0 + 330.0 + 820.0,1.002e-04,3854.412172708
47.0 and 100.0 + 220.0 + 330.0 + 1000.0,1.008e-04,4345.286024831
47.0 and 100.0 + 220.0 + 470.0 + 680.0,1.021e-04,3713.040503296
47.0 and 100.0 + 220.0 + 470.0 + 820.0,1.029e-04,4105.739584995
47.0 and 100.0 + 220.0 + 470.0 + 1000.0,1.036e-04,4596.613437118
47.0 and 100.0 + 220.0 + 680.0 + 820.0,1.050e-04,4671.226262641
47.0 and 100.0 + 220.0 + 680.0 + 1000.0,1.058e-04,5162.100114764
47.0 and 100.0 + 220.0 + 820.0 + 1000.0,1.066e-04,5554.799196463
47.0 and 100.0 + 330.0 + 470.0 + 680.0,1.071e-04,3888.969691897
47.0 and 100.0 + 330.0 + 470.0 + 820.0,1.081e-04,4281.668773596
